co_seq_curso,no_curso,qt_carga_horaria_total,co_seq_orgao,sg_orgao,no_orgao,no_formato,no_nivel,no_modalidade,ds_imagem,status,status_ordem,rank,metadata_coleta,id,titulo,descricao,carga_horaria,categoria,publico_alvo,palavras_chave,link,vagas,numero_vagas,qt_vagas,vagas_disponiveis,inicio_inscricao,fim_inscricao,data_inicio,data_fim,modalidade,tipo_curso,nivel,area_tematica,instituicao,coordenador,tutores,certificacao,pre_requisitos,objetivos,metodologia,avaliacao,bibliografia
44538,1º Formação de Preceptores para o SUS,195,13,UNIFESP,Universidade Federal de São Paulo,Ensino a Distância,Extensão,Aperfeiçoamento,https://ppuview.unasus.gov.br/arouca_imagens/44538_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697312', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44540,2º Formação de Preceptores para o SUS,195,13,UNIFESP,Universidade Federal de São Paulo,Ensino a Distância,Extensão,Aperfeiçoamento,https://ppuview.unasus.gov.br/arouca_imagens/44540_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697329', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47028,Abordagem Clínica de Zika na Atenção Primária à Saúde,45,4511621,FIOCRUZ - MS,Fundação Oswaldo Cruz - Mato Grosso do Sul,Ensino a Distância,Extensão,Atualização,https://ppuview.unasus.gov.br/arouca_imagens/47028_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697334', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47054,Abordagem Cuidados para o desenvolvimento da criança na atenção primária a saúde,30,1,UFMG,Universidade Federal de Minas Gerais,Ensino a Distância,Extensão,Atualização,https://ppuview.unasus.gov.br/arouca_imagens/47054_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697338', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46624,Abordagem das síndromes geriátricas e cuidados paliativos na Atenção Primária à Saúde,12,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/46624_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697342', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6280,Abordagem da Violência na Atenção Domiciliar,45,3,UERJ,Universidade do Estado do Rio de Janeiro,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/6280_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697346', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45389,Abordagem Domiciliar de Pacientes em Cuidados Paliativos,45,9,UFPEL,Universidade Federal de Pelotas,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/45389_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697350', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44521,Abordagem Domiciliar de Pacientes em Cuidados Paliativos,45,9,UFPEL,Universidade Federal de Pelotas,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/44521_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697353', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43668,Abordagem domiciliar de situações clínicas comuns em adultos,60,17,UFPE,Universidade Federal de Pernambuco,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/43668_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697357', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44108,Abordagem Domiciliar em Situações Clínicas Comuns em Idosos,45,9,UFPEL,Universidade Federal de Pelotas,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/44108_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697362', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45386,Abordagem Domiciliar em Situações Clínicas Comuns em Idosos - Enfermagem,45,9,UFPEL,Universidade Federal de Pelotas,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/45386_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697366', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45385,Abordagem Domiciliar em Situações Clínicas Comuns em Idosos - Medicina,45,9,UFPEL,Universidade Federal de Pelotas,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/45385_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697370', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6260,Abordagem Domiciliar em Situações Clínicas Comuns Materno-Infantis,60,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/6260_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697373', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45782,Abordagem do Sobrepeso e Obesidade na Atenção Primária em Saúde,30,5,UFSC,Universidade Federal de Santa Catarina,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/45782_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697377', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45383,Abordagem dos Problemas Respiratórios no Adulto Comuns na Atenção Básica - Enfermagem,45,9,UFPEL,Universidade Federal de Pelotas,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/45383_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697381', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45384,Abordagem dos Problemas Respiratórios no Adulto Comuns na Atenção Básica - Medicina,45,9,UFPEL,Universidade Federal de Pelotas,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/45384_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697384', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46764,Abordagem Familiar,10,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/46764_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697388', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45664,Abordagem familiar e manejo das fragilidades e da rede de apoio,12,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/45664_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697391', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35908,Abordagem Familiar na Atenção Domiciliar,30,10,UFCSPA,Universidade Federal de Ciências da Saúde de Porto Alegre,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/35908_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697395', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44566,Abordagem Farmacêutica na DRC,30,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/44566_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697398', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44565,Abordagem Nutricional ao Paciente com DRC,30,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/44565_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:41.697402', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45519,Abordagens de adultos em situações de urgência e emergência na Atenção Básica,30,17,UFPE,Universidade Federal de Pernambuco,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/45519_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893475', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45653,Abordagens em situações de urgências dermatológicas na Atenção Básica,15,17,UFPE,Universidade Federal de Pernambuco,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/45653_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893488', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45544,Acesso e Acolhimento na Atenção à Saúde do Homem,30,5,UFSC,Universidade Federal de Santa Catarina,Ensino a Distância,Extensão,Atualização,https://ppuview.unasus.gov.br/arouca_imagens/45544_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893492', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47031,Acesso e acolhimento na atenção à saúde do homem na Atenção Primária à Saúde,30,5,UFSC,Universidade Federal de Santa Catarina,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/47031_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893496', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44861,Ações de Vigilância e Prevenção de Doenças Crônicas não Transmissíveis (DCNT),30,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/44861_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893500', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46644,Ações estratégicas no cuidado à pessoa idosa na Atenção Primária,10,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/46644_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893504', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45298,Ações Estratégicas para a Saúde da Pessoa Idosa,10,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/45298_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893508', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
